method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,1024,8,low,local,32,1,0.27155,0.27376,0.27750,0.39690,1979.45984,1,0
row_owned_scalar,1024,8,low,local,32,1,0.68490,0.95062,0.69070,0.96290,784.82905,1,0
scalar_csr_cusparse,1024,8,low,local,32,1,1.64573,1.81939,1.66050,1.82810,326.61915,1,0
slot_grouped_cublas,1024,8,low,local,32,1,1.06186,1.24339,1.07070,1.25090,506.21389,8,0
row_owned_hybrid,1024,8,low,local,64,1,0.33754,0.33920,0.34280,0.35000,3185.00107,1,0
row_owned_scalar,1024,8,low,local,64,1,1.41398,1.63904,1.42150,1.64670,760.30039,1,0
scalar_csr_cusparse,1024,8,low,local,64,1,3.26182,3.44419,3.27530,3.45960,329.58632,1,0
slot_grouped_cublas,1024,8,low,local,64,1,1.09939,1.27536,1.10660,1.28190,977.86093,8,0
row_owned_hybrid,1024,16,low,local,8,1,0.48467,0.48765,0.49010,0.50030,551.50032,1,0
row_owned_scalar,1024,16,low,local,8,1,0.48438,0.71366,0.49000,0.72710,551.82824,1,0
scalar_csr_cusparse,1024,16,low,local,8,1,0.88176,1.11437,0.88730,1.12100,303.14005,1,0
slot_grouped_cublas,1024,16,low,local,8,1,2.07674,2.26416,2.08290,2.27460,128.71004,16,0
row_owned_hybrid,1024,16,low,local,16,1,0.45798,0.62090,0.46490,0.62730,1167.27557,1,0
row_owned_scalar,1024,16,low,local,16,1,0.86227,1.01734,0.86980,1.02460,619.98247,1,0
scalar_csr_cusparse,1024,16,low,local,16,1,1.47667,1.64621,1.48530,1.65310,362.02590,1,0
slot_grouped_cublas,1024,16,low,local,16,1,2.11498,2.28096,2.13040,2.29250,252.76578,16,0
row_owned_hybrid,1024,16,low,local,32,1,0.51363,0.53651,0.51870,0.55800,2081.62084,1,0
row_owned_scalar,1024,16,low,local,32,1,1.63491,1.85878,1.64090,1.86630,653.97224,1,0
scalar_csr_cusparse,1024,16,low,local,32,1,2.96205,3.11498,2.97560,3.12740,360.96210,1,0
slot_grouped_cublas,1024,16,low,local,32,1,2.14982,2.34518,2.16340,2.35960,497.33705,16,0
row_owned_hybrid,1024,16,low,local,64,1,0.64218,0.80854,0.66340,1.17030,3329.88812,1,0
row_owned_scalar,1024,16,low,local,64,1,3.55741,3.92048,3.65320,3.94110,601.10454,1,0
scalar_csr_cusparse,1024,16,low,local,64,1,6.34973,6.61907,6.36860,6.63680,336.76625,1,0
slot_grouped_cublas,1024,16,low,local,64,1,2.37168,2.69466,2.38080,2.74090,901.62843,16,0
row_owned_hybrid,1024,2,low,random,8,1,0.04170,0.04874,0.04730,0.05530,801.49807,1,0
row_owned_scalar,1024,2,low,random,8,1,0.04070,0.04112,0.04590,0.04700,821.03143,1,0
scalar_csr_cusparse,1024,2,low,random,8,1,0.13114,0.13654,0.13690,0.26900,254.84431,1,0
slot_grouped_cublas,1024,2,low,random,8,1,0.26339,0.26624,0.26900,0.27310,126.88033,2,0
row_owned_hybrid,1024,2,low,random,16,1,0.04640,0.04787,0.05170,0.05940,1440.48554,1,0
row_owned_scalar,1024,2,low,random,16,1,0.06794,0.09494,0.09020,0.11970,983.84546,1,0
scalar_csr_cusparse,1024,2,low,random,16,1,0.20326,0.22154,0.20850,0.34310,328.82620,1,0
slot_grouped_cublas,1024,2,low,random,16,1,0.24835,0.27002,0.25370,0.27600,269.12820,2,0
row_owned_hybrid,1024,2,low,random,32,1,0.04816,0.04909,0.05360,0.05890,2775.68628,1,0
row_owned_scalar,1024,2,low,random,32,1,0.11677,0.11747,0.12230,0.12300,1144.80896,1,0
scalar_csr_cusparse,1024,2,low,random,32,1,0.38966,0.40451,0.39480,0.41190,343.05724,1,0
slot_grouped_cublas,1024,2,low,random,32,1,0.26666,0.29552,0.27200,0.30840,501.30899,2,0
row_owned_hybrid,1024,2,low,random,64,1,0.07136,0.07907,0.07670,0.08620,3746.55429,1,0
row_owned_scalar,1024,2,low,random,64,1,0.22509,0.22634,0.23020,0.23200,1187.77594,1,0
scalar_csr_cusparse,1024,2,low,random,64,1,0.77542,0.96611,0.78830,1.01130,344.78442,1,0
slot_grouped_cublas,1024,2,low,random,64,1,0.32851,0.35846,0.35160,0.36960,813.83359,2,0
row_owned_hybrid,1024,4,low,random,8,1,0.06845,0.06957,0.07440,0.07940,973.44928,1,0
row_owned_scalar,1024,4,low,random,8,1,0.06941,0.06947,0.07450,0.07460,959.98525,1,0
scalar_csr_cusparse,1024,4,low,random,8,1,0.25514,0.27258,0.26210,0.27780,261.15739,1,0
slot_grouped_cublas,1024,4,low,random,8,1,0.51226,0.53955,0.51770,0.55230,130.07296,4,0
row_owned_hybrid,1024,4,low,random,16,1,0.08390,0.09552,0.08930,0.11590,1588.25938,1,0
row_owned_scalar,1024,4,low,random,16,1,0.11731,0.11763,0.12280,0.12330,1135.95636,1,0
scalar_csr_cusparse,1024,4,low,random,16,1,0.43526,0.49178,0.49710,0.55190,306.16204,1,0
slot_grouped_cublas,1024,4,low,random,16,1,0.52074,0.54054,0.52650,0.55440,255.90955,4,0
row_owned_hybrid,1024,4,low,random,32,1,0.08806,0.08906,0.09330,0.10060,3026.46512,1,0
row_owned_scalar,1024,4,low,random,32,1,0.21270,0.21366,0.21780,0.21880,1253.02120,1,0
scalar_csr_cusparse,1024,4,low,random,32,1,0.78570,1.08598,0.79990,1.10020,339.21849,1,0
slot_grouped_cublas,1024,4,low,random,32,1,0.52477,0.72150,0.53070,0.73140,507.88658,4,0
row_owned_hybrid,1024,4,low,random,64,1,0.13763,0.14746,0.14380,0.16100,3872.97473,1,0
row_owned_scalar,1024,4,low,random,64,1,0.43002,0.66310,0.45830,0.66840,1239.59396,1,0
scalar_csr_cusparse,1024,4,low,random,64,1,1.55526,1.75286,1.56300,1.76020,342.73618,1,0
slot_grouped_cublas,1024,4,low,random,64,1,0.53747,0.54016,0.54320,0.54640,991.76374,4,0
row_owned_hybrid,1024,8,low,random,8,1,0.17837,0.18032,0.18360,0.19140,751.48905,1,0
row_owned_scalar,1024,8,low,random,8,1,0.17693,0.17811,0.18220,0.18310,757.60536,1,0
scalar_csr_cusparse,1024,8,low,random,8,1,0.52915,0.54205,0.53940,0.91450,253.31399,1,0
slot_grouped_cublas,1024,8,low,random,8,1,1.03488,1.05382,1.04290,1.55030,129.52380,8,0
row_owned_hybrid,1024,8,low,random,16,1,0.23034,0.23338,0.23580,0.24140,1163.87888,1,0
row_owned_scalar,1024,8,low,random,16,1,0.36589,0.41674,0.37180,0.65090,732.69197,1,0
scalar_csr_cusparse,1024,8,low,random,16,1,0.82102,1.02678,0.82790,1.04310,326.52298,1,0
slot_grouped_cublas,1024,8,low,random,16,1,1.05110,1.30803,1.05720,1.33700,255.04918,8,0
row_owned_hybrid,1024,8,low,random,32,1,0.26704,0.27088,0.27260,0.28010,2007.81295,1,0
row_owned_scalar,1024,8,low,random,32,1,0.69693,0.69763,0.70240,0.70390,769.32823,1,0
scalar_csr_cusparse,1024,8,low,random,32,1,1.64339,1.81098,1.66200,1.81850,326.25595,1,0
slot_grouped_cublas,1024,8,low,random,32,1,1.06685,1.27565,1.07330,1.29160,502.57054,8,0
row_owned_hybrid,1024,8,low,random,64,1,0.32838,0.33075,0.33380,0.34110,3265.48419,1,0
row_owned_scalar,1024,8,low,random,64,1,1.44867,1.69254,1.45520,1.69900,740.21777,1,0
scalar_csr_cusparse,1024,8,low,random,64,1,3.24528,3.44387,3.26080,3.45730,330.42843,1,0
slot_grouped_cublas,1024,8,low,random,64,1,1.09251,1.28531,1.09860,1.29300,981.52953,8,0
row_owned_hybrid,1024,16,low,random,8,1,0.49222,0.53766,0.50150,0.74630,544.04368,1,0
row_owned_scalar,1024,16,low,random,8,1,0.48595,0.75658,0.49140,0.76290,551.06547,1,0
scalar_csr_cusparse,1024,16,low,random,8,1,0.88582,1.12157,0.89180,1.12780,302.30763,1,0
slot_grouped_cublas,1024,16,low,random,8,1,2.07168,2.29875,2.19220,2.30560,129.26289,16,0
row_owned_hybrid,1024,16,low,random,16,1,0.44531,0.44746,0.45150,0.45540,1202.71344,1,0
row_owned_scalar,1024,16,low,random,16,1,0.86381,0.88339,0.87020,0.89560,620.02521,1,0
scalar_csr_cusparse,1024,16,low,random,16,1,1.47526,1.66093,1.48250,1.66890,363.04196,1,0
slot_grouped_cublas,1024,16,low,random,16,1,2.12976,2.25872,2.14590,2.26940,251.47562,16,0
row_owned_hybrid,1024,16,low,random,32,1,0.51453,0.69203,0.51990,0.69740,2081.84101,1,0
row_owned_scalar,1024,16,low,random,32,1,1.66064,1.87795,1.67350,1.88530,645.03170,1,0
scalar_csr_cusparse,1024,16,low,random,32,1,2.93523,3.11363,2.94830,3.12220,364.93383,1,0
slot_grouped_cublas,1024,16,low,random,32,1,2.13050,2.34074,2.15420,2.35440,502.77749,16,0
row_owned_hybrid,1024,16,low,random,64,1,0.62970,0.85053,0.65650,0.87070,3402.16682,1,0
row_owned_scalar,1024,16,low,random,64,1,3.51805,3.77126,3.56400,3.82590,608.95441,1,0
