method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
scalar_csr_cusparse,1024,8,uniform,random,64,1,3.60915,4.02045,3.61550,4.02980,297.50529,1,0
slot_grouped_cublas,1024,8,uniform,random,64,1,1.07766,1.32534,1.08410,1.33180,996.36047,8,0
row_owned_hybrid,1024,16,uniform,random,8,1,0.44054,0.44230,0.44580,0.45330,609.32722,1,0
row_owned_scalar,1024,16,uniform,random,8,1,0.44170,0.46019,0.44680,0.90050,607.73804,1,0
scalar_csr_cusparse,1024,16,uniform,random,8,1,0.93523,1.29485,0.94240,1.52840,287.02553,1,0
slot_grouped_cublas,1024,16,uniform,random,8,1,2.10570,2.36134,2.12380,2.38040,127.48063,16,0
row_owned_hybrid,1024,16,uniform,random,16,1,0.43978,0.44074,0.44560,0.45160,1220.78264,1,0
row_owned_scalar,1024,16,uniform,random,16,1,0.86342,0.88166,0.86940,0.89590,621.79290,1,0
scalar_csr_cusparse,1024,16,uniform,random,16,1,1.57446,1.75338,1.59250,1.76020,340.98647,1,0
slot_grouped_cublas,1024,16,uniform,random,16,1,2.07546,2.42272,2.10730,2.43680,258.67614,16,0
row_owned_hybrid,1024,16,uniform,random,32,1,0.57792,0.57882,0.58470,0.58970,1857.94191,1,0
row_owned_scalar,1024,16,uniform,random,32,1,1.67734,1.86627,1.68760,1.87380,640.14409,1,0
scalar_csr_cusparse,1024,16,uniform,random,32,1,3.03456,3.21114,3.05360,3.21940,353.83773,1,0
slot_grouped_cublas,1024,16,uniform,random,32,1,2.30042,2.33059,2.30780,2.53420,466.75985,16,0
row_owned_hybrid,1024,16,uniform,random,64,1,0.85846,1.07293,0.86620,1.08560,2501.54187,1,0
row_owned_scalar,1024,16,uniform,random,64,1,3.31853,3.56006,3.33630,3.57550,647.11935,1,0
scalar_csr_cusparse,1024,16,uniform,random,64,1,6.23318,6.48070,6.24990,6.62550,344.52435,1,0
slot_grouped_cublas,1024,16,uniform,random,64,1,2.16317,2.37395,2.17950,2.38790,992.74938,16,0
row_owned_hybrid,1024,2,low,local,8,1,0.04070,0.05683,0.04750,0.06920,820.07546,1,0
row_owned_scalar,1024,2,low,local,8,1,0.03978,0.04134,0.04500,0.04680,839.20834,1,0
scalar_csr_cusparse,1024,2,low,local,8,1,0.12998,0.15789,0.13540,0.17150,256.80353,1,0
slot_grouped_cublas,1024,2,low,local,8,1,0.26528,0.26864,0.27050,0.27420,125.83064,2,0
row_owned_hybrid,1024,2,low,local,16,1,0.04669,0.04694,0.05190,0.05690,1429.93278,1,0
row_owned_scalar,1024,2,low,local,16,1,0.06541,0.06621,0.07050,0.07130,1020.68104,1,0
scalar_csr_cusparse,1024,2,low,local,16,1,0.20285,0.20374,0.20810,0.21120,329.11689,1,0
slot_grouped_cublas,1024,2,low,local,16,1,0.26906,0.27514,0.27440,0.28040,248.12941,2,0
row_owned_hybrid,1024,2,low,local,32,1,0.06173,0.06253,0.06690,0.07340,2163.06063,1,0
row_owned_scalar,1024,2,low,local,32,1,0.11715,0.11738,0.12250,0.12330,1139.72796,1,0
scalar_csr_cusparse,1024,2,low,local,32,1,0.38986,0.57952,0.39520,0.58610,342.48903,1,0
slot_grouped_cublas,1024,2,low,local,32,1,0.26758,0.27306,0.27290,0.27830,498.98877,2,0
row_owned_hybrid,1024,2,low,local,64,1,0.10922,0.11123,0.11440,0.12030,2445.08884,1,0
row_owned_scalar,1024,2,low,local,64,1,0.22576,0.23418,0.23120,0.24650,1182.86153,1,0
scalar_csr_cusparse,1024,2,low,local,64,1,0.76957,0.80742,0.80470,0.84030,347.00352,1,0
slot_grouped_cublas,1024,2,low,local,64,1,0.26371,0.26442,0.26920,0.27080,1012.63055,2,0
row_owned_hybrid,1024,4,low,local,8,1,0.06749,0.07053,0.07250,0.08140,994.00285,1,0
row_owned_scalar,1024,4,low,local,8,1,0.06813,0.06963,0.07330,0.07460,984.66514,1,0
scalar_csr_cusparse,1024,4,low,local,8,1,0.25680,0.25760,0.26190,0.26450,261.22767,1,0
slot_grouped_cublas,1024,4,low,local,8,1,0.50051,0.50387,0.50640,0.51050,134.02928,4,0
row_owned_hybrid,1024,4,low,local,16,1,0.08333,0.08698,0.08920,0.09400,1610.10136,1,0
row_owned_scalar,1024,4,low,local,16,1,0.11667,0.13574,0.12170,0.14810,1149.94622,1,0
scalar_csr_cusparse,1024,4,low,local,16,1,0.40739,0.60006,0.42770,0.60660,329.33030,1,0
slot_grouped_cublas,1024,4,low,local,16,1,0.51962,0.75917,0.52540,0.77180,258.20322,4,0
row_owned_hybrid,1024,4,low,local,32,1,0.11514,0.12320,0.12050,0.13590,2330.57481,1,0
row_owned_scalar,1024,4,low,local,32,1,0.21245,0.21680,0.21810,0.22780,1263.05286,1,0
scalar_csr_cusparse,1024,4,low,local,32,1,0.79626,1.00282,0.80230,1.01160,336.99345,1,0
slot_grouped_cublas,1024,4,low,local,32,1,0.52861,0.55843,0.53420,0.57190,507.62199,4,0
row_owned_hybrid,1024,4,low,local,64,1,0.21686,0.22330,0.22320,0.24420,2474.66661,1,0
row_owned_scalar,1024,4,low,local,64,1,0.41578,0.44291,0.43840,0.47400,1290.75775,1,0
scalar_csr_cusparse,1024,4,low,local,64,1,1.57181,1.77334,1.57990,1.77970,341.43236,1,0
slot_grouped_cublas,1024,4,low,local,64,1,0.53690,0.57072,0.54260,0.57860,999.57184,4,0
row_owned_hybrid,1024,8,low,local,8,1,0.17610,0.18419,0.19800,0.20600,763.11536,1,0
row_owned_scalar,1024,8,low,local,8,1,0.17584,0.18176,0.18100,0.19620,764.22636,1,0
scalar_csr_cusparse,1024,8,low,local,8,1,0.52733,0.54883,0.53270,0.56170,254.83487,1,0
slot_grouped_cublas,1024,8,low,local,8,1,1.03805,1.22992,1.04430,1.24030,129.45602,8,0
row_owned_hybrid,1024,8,low,local,16,1,0.23312,0.23706,0.23830,0.37360,1152.89612,1,0
row_owned_scalar,1024,8,low,local,16,1,0.35558,0.35974,0.36110,0.36550,755.83586,1,0
scalar_csr_cusparse,1024,8,low,local,16,1,0.82694,1.04077,0.83260,1.05610,325.00766,1,0
slot_grouped_cublas,1024,8,low,local,16,1,1.05731,1.24179,1.06320,1.25860,254.19472,8,0
row_owned_hybrid,1024,8,low,local,32,1,0.31222,0.31600,0.31810,0.32340,1721.60459,1,0
row_owned_scalar,1024,8,low,local,32,1,0.69270,0.93510,0.69970,0.95070,775.98261,1,0
scalar_csr_cusparse,1024,8,low,local,32,1,1.63405,1.81878,1.64160,1.82610,328.95379,1,0
slot_grouped_cublas,1024,8,low,local,32,1,1.07120,1.09517,1.07790,1.11040,501.79823,8,0
row_owned_hybrid,1024,8,low,local,64,1,0.49850,0.50714,0.50440,0.51280,2156.59213,1,0
row_owned_scalar,1024,8,low,local,64,1,1.43322,1.70224,1.44370,1.71370,750.09807,1,0
scalar_csr_cusparse,1024,8,low,local,64,1,3.25075,3.44934,3.26010,3.45660,330.70888,1,0
slot_grouped_cublas,1024,8,low,local,64,1,1.08995,1.30531,1.09630,1.32020,986.33018,8,0
row_owned_hybrid,1024,16,low,local,8,1,0.47395,0.63782,0.48220,0.64360,563.97435,1,0
row_owned_scalar,1024,16,low,local,8,1,0.47082,0.47542,0.47600,0.48830,567.73087,1,0
scalar_csr_cusparse,1024,16,low,local,8,1,0.88742,0.90656,0.89590,0.92210,301.20525,1,0
slot_grouped_cublas,1024,16,low,local,8,1,2.09075,2.31760,2.10720,2.35840,127.84720,16,0
row_owned_hybrid,1024,16,low,local,16,1,0.45741,0.61830,0.46370,0.63620,1168.74546,1,0
row_owned_scalar,1024,16,low,local,16,1,0.86176,1.03872,0.88480,1.05430,620.35082,1,0
scalar_csr_cusparse,1024,16,low,local,16,1,1.48234,1.66566,1.49470,1.67390,360.64261,1,0
slot_grouped_cublas,1024,16,low,local,16,1,2.11722,2.31507,2.14810,2.32930,252.49833,16,0
row_owned_hybrid,1024,16,low,local,32,1,0.58762,0.59021,0.59430,0.59870,1819.53355,1,0
row_owned_scalar,1024,16,low,local,32,1,1.63296,1.86128,1.64030,1.86860,654.75400,1,0
scalar_csr_cusparse,1024,16,low,local,32,1,2.91974,3.10762,2.93030,3.11620,366.19206,1,0
slot_grouped_cublas,1024,16,low,local,32,1,2.12861,2.34266,2.13730,2.35630,502.29402,16,0
row_owned_hybrid,1024,16,low,local,64,1,0.92675,1.06723,0.94190,1.07360,2307.38559,1,0
row_owned_scalar,1024,16,low,local,64,1,3.22675,3.44304,3.24000,3.45680,662.70172,1,0
scalar_csr_cusparse,1024,16,low,local,64,1,6.03498,6.06125,6.05340,6.08110,354.33018,1,0
slot_grouped_cublas,1024,16,low,local,64,1,2.19872,2.49040,2.22090,2.50700,972.55411,16,0
row_owned_hybrid,1024,2,low,random,8,1,0.04157,0.04224,0.04680,0.05360,803.96613,1,0
row_owned_scalar,1024,2,low,random,8,1,0.04125,0.04160,0.04680,0.04690,810.20324,1,0
scalar_csr_cusparse,1024,2,low,random,8,1,0.13082,0.13197,0.13660,0.13770,255.46771,1,0
slot_grouped_cublas,1024,2,low,random,8,1,0.24982,0.38086,0.25550,0.38760,133.77123,2,0
row_owned_hybrid,1024,2,low,random,16,1,0.04682,0.05578,0.06210,0.07420,1427.68561,1,0
row_owned_scalar,1024,2,low,random,16,1,0.06534,0.06550,0.07040,0.07050,1022.87172,1,0
scalar_csr_cusparse,1024,2,low,random,16,1,0.20333,0.21366,0.20990,0.21920,328.72270,1,0
slot_grouped_cublas,1024,2,low,random,16,1,0.26198,0.45142,0.26910,0.45730,255.12447,2,0
row_owned_hybrid,1024,2,low,random,32,1,0.06234,0.06406,0.06810,0.07470,2144.45991,1,0
row_owned_scalar,1024,2,low,random,32,1,0.11725,0.11763,0.12260,0.12330,1140.12228,1,0
scalar_csr_cusparse,1024,2,low,random,32,1,0.39197,0.80413,0.39910,0.81040,341.04073,1,0
slot_grouped_cublas,1024,2,low,random,32,1,0.26829,0.27069,0.27360,0.27620,498.25957,2,0
row_owned_hybrid,1024,2,low,random,64,1,0.10931,0.11869,0.11820,0.14360,2445.78927,1,0
row_owned_scalar,1024,2,low,random,64,1,0.22918,0.49206,0.23540,0.49750,1166.54788,1,0
scalar_csr_cusparse,1024,2,low,random,64,1,0.76454,1.10272,0.77010,1.11040,349.69094,1,0
slot_grouped_cublas,1024,2,low,random,64,1,0.26253,0.26432,0.26780,0.27130,1018.38322,2,0
row_owned_hybrid,1024,4,low,random,8,1,0.06957,0.07021,0.07530,0.07990,957.77736,1,0
row_owned_scalar,1024,4,low,random,8,1,0.06992,0.07965,0.07550,0.09400,952.95556,1,0
scalar_csr_cusparse,1024,4,low,random,8,1,0.25734,0.28496,0.26310,0.39220,258.91668,1,0
slot_grouped_cublas,1024,4,low,random,8,1,0.51734,0.75040,0.54590,0.90650,128.79372,4,0
row_owned_hybrid,1024,4,low,random,16,1,0.08442,0.10154,0.08950,0.11030,1578.62619,1,0
row_owned_scalar,1024,4,low,random,16,1,0.11709,0.11779,0.12240,0.12370,1138.12957,1,0
scalar_csr_cusparse,1024,4,low,random,16,1,0.40435,0.41699,0.41210,0.43340,329.56758,1,0
slot_grouped_cublas,1024,4,low,random,16,1,0.51574,0.52294,0.52190,0.52970,258.38656,4,0
row_owned_hybrid,1024,4,low,random,32,1,0.11549,0.13795,0.12070,0.15240,2307.79495,1,0
row_owned_scalar,1024,4,low,random,32,1,0.21878,0.23526,0.22920,0.24840,1218.19977,1,0
scalar_csr_cusparse,1024,4,low,random,32,1,0.78998,0.81133,0.79560,0.82600,337.37725,1,0
slot_grouped_cublas,1024,4,low,random,32,1,0.53629,0.70864,0.55560,0.71600,496.97665,4,0
row_owned_hybrid,1024,4,low,random,64,1,0.21779,0.22349,0.22300,0.24120,2447.49687,1,0
row_owned_scalar,1024,4,low,random,64,1,0.41702,0.44602,0.42270,0.82020,1278.21244,1,0
scalar_csr_cusparse,1024,4,low,random,64,1,1.75200,1.93955,1.75840,1.94630,304.24958,1,0
slot_grouped_cublas,1024,4,low,random,64,1,0.53875,0.93674,0.54510,0.94320,989.40742,4,0
