method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,4096,8,low,local,32,1,0.81418,1.02080,0.81940,1.04570,2618.63955,1,0
row_owned_scalar,4096,8,low,local,32,1,3.41088,3.82397,3.42550,3.82980,625.06845,1,0
scalar_csr_cusparse,4096,8,low,local,32,1,6.66211,7.12781,6.68940,7.14190,320.02366,1,0
slot_grouped_cublas,4096,8,low,local,32,1,4.47549,4.80541,4.49570,4.81440,476.38011,8,0
row_owned_hybrid,4096,8,low,local,64,1,1.25344,1.45110,1.25910,1.46590,3401.89159,1,0
row_owned_scalar,4096,8,low,local,64,1,7.02483,7.34954,7.03730,7.35980,606.99917,1,0
scalar_csr_cusparse,4096,8,low,local,64,1,14.53434,15.30109,14.57660,15.33810,293.37887,1,0
slot_grouped_cublas,4096,8,low,local,64,1,5.56483,6.20064,5.66110,6.21420,766.25259,8,0
row_owned_hybrid,4096,16,low,local,8,1,2.11696,2.33526,2.12320,2.34140,503.99987,1,0
row_owned_scalar,4096,16,low,local,8,1,1.93638,2.13466,2.06280,2.21780,551.00001,1,0
scalar_csr_cusparse,4096,16,low,local,8,1,3.71296,4.07693,3.74020,4.10760,287.35768,1,0
slot_grouped_cublas,4096,16,low,local,8,1,8.21050,8.48573,8.34000,8.58850,129.94922,16,0
row_owned_hybrid,4096,16,low,local,16,1,1.34429,1.74218,1.39070,1.77190,1587.37948,1,0
row_owned_scalar,4096,16,low,local,16,1,3.67350,4.03898,3.70200,4.05560,580.88819,1,0
scalar_csr_cusparse,4096,16,low,local,16,1,6.22749,6.61398,6.26390,6.65540,342.65745,1,0
slot_grouped_cublas,4096,16,low,local,16,1,8.43965,8.79366,8.46010,8.81090,252.84174,16,0
row_owned_hybrid,4096,16,low,local,32,1,1.53942,1.92186,1.55170,1.92890,2772.32945,1,0
row_owned_scalar,4096,16,low,local,32,1,6.91059,7.22726,7.00940,7.24100,617.57231,1,0
scalar_csr_cusparse,4096,16,low,local,32,1,12.51149,13.09347,12.52590,13.13080,341.10973,1,0
slot_grouped_cublas,4096,16,low,local,32,1,8.91363,9.47286,8.94780,9.49820,478.79362,16,0
row_owned_hybrid,4096,16,low,local,64,1,2.37462,2.58554,2.38800,2.60040,3594.49775,1,0
row_owned_scalar,4096,16,low,local,64,1,13.56061,13.96800,13.56710,13.98600,629.43938,1,0
scalar_csr_cusparse,4096,16,low,local,64,1,24.24080,25.43632,24.26000,25.46230,352.11628,1,0
slot_grouped_cublas,4096,16,low,local,64,1,11.72554,12.12800,11.74610,12.19660,727.94799,16,0
row_owned_hybrid,4096,2,low,random,8,1,0.24496,0.42496,0.26410,0.44320,541.98512,1,0
row_owned_scalar,4096,2,low,random,8,1,0.24704,0.48400,0.25470,0.48950,537.42175,1,0
scalar_csr_cusparse,4096,2,low,random,8,1,0.47683,0.72467,0.48260,0.73110,278.43071,1,0
slot_grouped_cublas,4096,2,low,random,8,1,0.92570,1.16285,0.93140,1.16940,143.42146,2,0
row_owned_hybrid,4096,2,low,random,16,1,0.20691,0.37181,0.21180,0.37670,1283.29603,1,0
row_owned_scalar,4096,2,low,random,16,1,0.47133,0.66320,0.47660,0.66820,563.36426,1,0
scalar_csr_cusparse,4096,2,low,random,16,1,0.76128,0.95344,0.76730,0.95870,348.79327,1,0
slot_grouped_cublas,4096,2,low,random,16,1,0.96451,1.24368,0.97030,1.24910,275.29916,2,0
row_owned_hybrid,4096,2,low,random,32,1,0.25222,0.25302,0.25700,0.37000,2105.50420,1,0
row_owned_scalar,4096,2,low,random,32,1,0.92070,1.11478,0.93170,1.14750,576.79633,1,0
scalar_csr_cusparse,4096,2,low,random,32,1,1.52157,1.72490,1.54060,1.75120,349.02069,1,0
slot_grouped_cublas,4096,2,low,random,32,1,0.99930,1.31034,1.00620,1.31650,531.43281,2,0
row_owned_hybrid,4096,2,low,random,64,1,0.39978,0.57027,0.40500,0.57560,2656.78116,1,0
row_owned_scalar,4096,2,low,random,64,1,1.91549,2.24483,1.93660,2.26520,554.48918,1,0
scalar_csr_cusparse,4096,2,low,random,64,1,3.05613,3.44595,3.07720,3.45860,347.53694,1,0
slot_grouped_cublas,4096,2,low,random,64,1,1.19302,1.39014,1.21140,1.40270,890.27324,2,0
row_owned_hybrid,4096,4,low,random,8,1,0.50867,0.72848,0.51440,0.74010,525.22194,1,0
row_owned_scalar,4096,4,low,random,8,1,0.50851,0.71776,0.51350,0.73000,525.38718,1,0
scalar_csr_cusparse,4096,4,low,random,8,1,0.99392,1.20918,1.00900,1.22370,268.79999,1,0
slot_grouped_cublas,4096,4,low,random,8,1,1.88973,2.11494,1.90140,2.13080,141.37786,4,0
row_owned_hybrid,4096,4,low,random,16,1,0.37725,0.56013,0.38230,0.56540,1416.39295,1,0
row_owned_scalar,4096,4,low,random,16,1,0.93888,1.14694,0.94500,1.15180,569.11573,1,0
scalar_csr_cusparse,4096,4,low,random,16,1,1.57539,1.82720,1.59520,1.84290,339.17361,1,0
slot_grouped_cublas,4096,4,low,random,16,1,1.97408,2.35680,1.98890,2.36360,270.67363,4,0
row_owned_hybrid,4096,4,low,random,32,1,0.44688,0.64685,0.45180,0.65880,2391.38640,1,0
row_owned_scalar,4096,4,low,random,32,1,1.81437,2.35418,1.83410,2.36880,589.00001,1,0
scalar_csr_cusparse,4096,4,low,random,32,1,3.31789,3.74614,3.33200,3.76040,322.09128,1,0
slot_grouped_cublas,4096,4,low,random,32,1,2.08122,2.70579,2.09370,2.71890,513.47997,4,0
row_owned_hybrid,4096,4,low,random,64,1,0.72234,0.91859,0.72770,0.92400,2958.90775,1,0
row_owned_scalar,4096,4,low,random,64,1,3.62573,4.11072,3.81650,4.11880,589.48869,1,0
scalar_csr_cusparse,4096,4,low,random,64,1,6.50925,7.05142,6.52140,7.06140,328.35216,1,0
slot_grouped_cublas,4096,4,low,random,64,1,2.59936,2.99315,2.62950,3.01530,822.25070,4,0
row_owned_hybrid,4096,8,low,random,8,1,0.99936,1.21869,1.00590,1.23370,534.40306,1,0
